Model,Archietecture ,fold,epoch,train_loss,val_loss,val_accuracy,val_f1,val_auc,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,11,0.2941,0.6373,0.6542,0.6862,0.7311,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,12,0.2456,0.6796,0.6443,0.6082,0.7306,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,1,0.6909,0.6707,0.5737,0.5564,0.5999,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,2,0.6373,0.6679,0.5853,0.6617,0.6108,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,3,0.6284,0.6567,0.5876,0.5885,0.6346,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,4,0.5998,0.6379,0.6129,0.641,0.6629,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,1,0.6833,0.6742,0.5576,0.6768,0.6119,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,2,0.6381,0.6515,0.6129,0.6471,0.6341,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,3,0.6103,0.6817,0.5783,0.4726,0.6596,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,4,0.5827,0.6512,0.606,0.5799,0.6675,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,5,0.5533,0.7381,0.5599,0.3898,0.6906,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,6,0.5363,0.6527,0.6129,0.5648,0.6986,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,7,0.4692,0.6172,0.6751,0.7081,0.7091,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,8,0.4648,0.6633,0.6129,0.5758,0.7119,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",1,9,0.416,0.6475,0.6336,0.6169,0.7224,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,1,0.6858,0.6603,0.6033,0.6795,0.6558,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,2,0.6518,0.6445,0.6247,0.6722,0.6737,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,3,0.6246,0.6424,0.6081,0.5823,0.6805,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,4,0.591,0.6484,0.6295,0.6176,0.6798,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,5,0.5482,0.6785,0.5962,0.533,0.6822,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",2,6,0.5089,0.6643,0.6271,0.6424,0.68,
